"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6755","Simulating network latency","","Wed Feb 19 00:50:12 EET 2025","passed","Wed Feb 19 00:50:18 EET 2025","","Proxy Configuration Testing","Simulating network latency",""
"","1","setUpClass","Default Suite","Wed Feb 19 00:34:22 EET 2025","broken","Wed Feb 19 00:34:22 EET 2025","tests.Runner","WireMock_ToxiProxy_4","tests.Runner","setUpClass"
